,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Id
10,0,0,1,3,0,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,1,2,4,0,4,3,6,6,4,3,0,1,1,6,1.0,5,3,5,5,1040,0,1,0,2,1,3,3,0,11200,4,70.0,3,0,0,3,0.0,2,1,0,1,19,0,4,4,2,0,1,3,4,8,0,1040.0,0,1965,1965,2008,11
11,1142,0,1,4,0,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,1,2,4,0,4,0,14,15,4,2,2,2,3,6,3.0,5,0,5,3,2324,0,1,0,5,1,0,3,0,11924,4,85.0,0,0,5,3,286.0,3,1,0,6,16,21,4,8,2,0,1,3,5,6,0,1175.0,147,2005,2006,2006,12
12,0,0,1,2,0,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,1,2,4,0,4,3,6,10,4,3,0,1,1,6,1.0,5,3,5,5,912,0,1,4,2,1,3,3,0,12968,4,71.0,1,0,0,3,0.0,2,1,0,8,19,0,5,4,2,0,1,3,4,8,176,912.0,140,1962,1962,2008,13
13,0,0,1,3,0,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,3.0,5,2,5,1,1494,0,1,0,2,1,2,3,0,10652,4,91.0,0,0,0,3,306.0,3,1,0,7,5,33,4,6,2,0,1,1,5,6,0,1494.0,160,2006,2007,2007,14
14,0,0,1,2,0,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,1,2,4,176,4,3,8,8,1,1,1,1,1,6,1.0,5,2,5,1,1253,1,1,4,2,1,3,3,0,10920,0,73.0,0,0,0,3,212.0,1,1,0,4,12,213,4,5,2,0,1,3,4,8,0,1253.0,0,1960,1960,2008,15
15,0,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,1,2,0,0,4,3,13,14,0,3,0,0,1,6,2.0,5,3,5,5,854,0,1,0,1,1,3,3,0,6120,0,51.0,3,0,3,4,0.0,2,1,0,6,3,112,7,6,2,0,1,1,4,8,0,832.0,48,1929,2001,2007,16
16,0,0,1,2,0,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,1,2,4,0,4,3,13,14,4,5,1,1,1,6,2.0,5,0,5,1,1004,0,1,0,2,1,3,3,0,11241,1,73.0,0,0,0,3,180.0,1,3,700,2,12,0,6,5,2,0,1,1,4,8,0,1004.0,0,1970,1970,2010,17
17,0,0,1,2,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,1,2,4,0,4,3,8,8,4,3,0,3,2,6,2.0,5,3,5,4,1296,0,1,4,2,2,3,3,0,10791,4,72.0,3,0,10,3,0.0,2,3,500,9,19,0,4,3,2,0,1,1,4,8,0,0.0,0,1967,1967,2006,18
18,0,0,1,3,0,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,1,5,4,0,4,3,12,13,4,3,0,2,1,6,2.0,5,3,5,5,1114,1,1,0,2,1,2,3,0,13695,4,66.0,3,0,0,3,0.0,2,1,0,5,20,102,4,4,2,0,1,1,4,8,0,1114.0,0,2004,2004,2008,19
19,0,0,1,3,0,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,1,2,4,0,4,3,3,10,2,3,0,1,1,2,1.0,5,3,5,1,1339,0,1,4,2,1,3,3,0,7560,4,70.0,3,0,0,3,0.0,2,1,0,4,12,0,5,4,2,0,1,3,0,0,0,1029.0,0,1958,1965,2009,20
20,1218,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,1,2,4,0,4,2,12,13,4,2,1,2,3,6,3.0,5,2,5,3,2376,1,1,0,5,1,2,3,0,14215,0,101.0,0,0,5,3,380.0,1,1,0,10,16,154,4,7,2,0,1,1,5,6,0,1158.0,240,2005,2006,2006,21
21,0,0,0,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,1,2,1,205,4,3,13,14,0,2,1,2,1,6,1.0,5,3,5,1,1108,0,1,0,1,1,2,0,0,7449,4,57.0,3,0,3,4,0.0,2,1,0,5,9,0,6,6,0,0,1,1,4,8,0,637.0,0,1930,1950,2007,22
22,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,2.0,5,2,5,1,1795,0,1,0,2,1,2,3,0,9742,4,75.0,3,0,0,3,281.0,1,1,0,8,5,159,4,7,2,0,1,3,4,8,0,1777.0,171,2002,2002,2008,23
23,0,0,1,3,4,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,1,2,4,0,4,3,5,5,4,5,1,2,1,6,2.0,5,3,5,1,1060,0,1,4,2,1,3,3,0,4224,4,44.0,3,0,11,4,0.0,2,1,0,5,10,110,6,4,2,0,1,1,4,8,0,1040.0,100,1976,1976,2007,24
24,0,0,1,3,0,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,1,2,4,0,2,3,9,10,2,5,1,1,1,6,1.0,5,3,5,1,1060,0,1,0,2,1,2,3,0,8246,4,71.0,0,0,0,3,0.0,2,1,0,4,19,90,7,4,2,0,1,1,4,8,0,1060.0,406,1968,2001,2010,25
25,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,3.0,5,2,5,1,1600,0,1,0,2,1,2,3,0,14230,0,110.0,3,0,0,3,640.0,3,1,0,6,16,56,4,7,2,0,1,1,4,8,0,1566.0,0,2007,2007,2009,26
26,0,0,1,3,0,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,1,2,4,0,4,3,13,14,4,3,0,1,1,6,2.0,5,3,5,5,900,0,1,4,2,1,2,3,0,7200,0,60.0,3,0,0,3,0.0,2,1,0,4,12,32,6,4,2,0,1,1,4,8,0,900.0,222,1951,2000,2010,27
27,0,0,1,3,0,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,3.0,5,2,5,1,1704,0,1,0,2,1,2,3,0,11478,4,98.0,3,0,0,3,200.0,3,1,0,4,16,50,4,7,2,0,1,1,4,8,0,1704.0,0,2007,2008,2010,28
28,0,0,1,2,0,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,1,2,4,0,4,3,8,8,4,2,2,1,1,6,1.0,5,2,5,1,1600,0,1,4,2,1,3,3,0,16321,1,47.0,0,0,0,3,0.0,2,1,0,11,12,258,5,4,2,0,1,1,4,8,0,1484.0,288,1957,1997,2006,29
29,0,0,1,1,0,4,3,0.0,0.0,6,6,0.0,0.0,4,520.0,0,1,4,87,4,3,8,8,4,3,0,0,1,6,1.0,5,3,1,5,520,0,1,1,2,1,1,3,0,6324,4,60.0,0,0,1,4,0.0,2,1,0,4,3,0,5,3,2,0,1,1,4,8,0,520.0,49,1927,1950,2008,30
30,668,0,2,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,649.0,0,1,4,172,1,3,3,3,2,3,0,0,1,6,1.0,1,3,5,5,1317,0,1,4,5,1,3,3,0,8500,4,50.0,3,0,6,0,0.0,2,1,0,6,9,54,3,3,0,0,1,2,4,8,0,649.0,0,1920,1950,2008,31
31,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,1228.0,1,2,4,0,4,3,6,6,2,3,0,1,1,6,1.0,5,3,5,1,1228,1,1,2,2,1,2,3,0,8544,1,71.0,0,0,0,3,0.0,2,1,0,5,19,65,5,4,2,0,1,1,4,8,0,1228.0,0,1966,2006,2008,32
32,0,0,1,3,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1234.0,1,2,4,0,4,2,12,13,4,3,0,2,2,6,2.0,5,2,5,1,1234,0,1,0,2,1,2,3,0,11049,0,85.0,3,0,0,3,0.0,2,1,0,0,5,30,4,7,2,0,1,1,4,8,0,1234.0,0,2007,2007,2008,33
33,0,0,1,4,0,4,3,1018.0,0.0,5,6,0.0,1.0,4,380.0,1,2,4,0,4,3,3,3,4,2,1,1,1,6,2.0,5,2,5,1,1700,1,1,2,2,1,2,3,0,10552,4,70.0,0,0,0,3,0.0,2,1,0,3,12,38,4,4,2,0,1,3,4,8,0,1398.0,0,1959,1959,2010,34
34,0,0,1,2,4,4,3,1153.0,0.0,2,6,1.0,0.0,0,408.0,1,2,4,0,4,0,8,8,4,2,1,2,2,6,2.0,5,0,5,1,1561,0,1,0,2,1,0,3,0,7313,4,60.0,3,0,11,3,246.0,1,1,0,7,16,47,4,8,2,0,1,3,4,8,0,1561.0,203,2005,2005,2007,35
35,1320,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1117.0,1,2,4,0,4,2,12,13,4,2,1,2,3,6,3.0,5,0,5,3,2452,1,1,0,5,1,2,3,0,13418,4,108.0,3,0,5,3,132.0,3,1,0,8,16,32,4,7,2,0,1,1,4,8,0,1117.0,113,2004,2005,2006,36
36,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1097.0,1,2,4,0,4,3,12,13,4,3,0,2,1,6,2.0,5,3,5,1,1097,1,1,0,2,1,3,3,0,10859,0,112.0,3,0,0,3,0.0,2,1,0,5,5,64,4,4,2,0,1,1,4,8,0,1097.0,392,1994,1995,2009,37
37,0,0,1,3,0,4,3,1213.0,0.0,5,6,0.0,1.0,4,84.0,1,2,4,0,4,3,13,14,4,5,1,1,1,6,2.0,5,0,5,1,1297,0,1,2,2,1,3,3,0,8532,4,74.0,3,0,0,3,650.0,1,1,0,9,12,0,5,4,2,0,1,3,4,8,0,1297.0,0,1954,1990,2009,38
38,0,0,1,3,0,4,3,731.0,0.0,2,6,1.0,0.0,4,326.0,1,2,4,0,2,3,12,13,4,3,0,1,1,6,1.0,5,3,5,5,1057,0,1,4,2,1,2,3,0,7922,4,68.0,3,0,0,3,0.0,2,1,0,0,12,52,6,4,2,0,1,1,0,8,0,1057.0,0,1953,2007,2010,39
39,0,0,1,2,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,0,2,2,0,4,3,0,10,4,3,0,2,2,6,0.0,3,1,3,6,1152,0,1,4,2,2,1,3,0,6040,4,65.0,3,0,10,3,0.0,2,1,0,5,7,0,4,3,0,0,1,1,1,8,0,0.0,0,1955,1955,2008,40
40,0,0,1,3,0,4,3,643.0,0.0,5,6,0.0,0.0,4,445.0,1,2,4,0,4,3,13,14,1,5,1,1,2,6,2.0,5,2,5,1,1324,0,1,0,2,1,3,3,0,8658,4,84.0,3,0,0,3,101.0,1,1,0,11,12,138,4,5,2,0,1,1,0,8,0,1088.0,0,1965,1965,2006,41
41,0,0,1,2,0,4,1,967.0,0.0,1,6,0.0,1.0,4,383.0,1,2,4,0,2,3,12,13,4,2,2,1,1,6,1.0,5,2,5,1,1328,1,1,2,2,1,3,3,0,16905,4,115.0,3,0,0,3,0.0,2,1,0,6,23,104,5,4,1,0,1,1,4,8,0,1350.0,0,1959,1959,2007,42
42,0,0,1,2,0,4,0,747.0,93.0,0,3,1.0,0.0,2,0.0,1,2,4,0,4,3,6,6,2,3,0,1,1,6,2.0,2,2,5,1,884,0,1,2,6,1,2,3,0,9180,1,66.5,0,0,9,3,0.0,2,1,0,11,20,0,6,4,2,0,1,1,4,8,0,840.0,240,1983,1983,2007,43
43,0,0,1,3,0,4,0,280.0,491.0,3,1,1.0,0.0,2,167.0,1,2,4,0,4,3,12,13,2,3,0,1,1,6,1.0,5,3,5,5,938,0,1,4,2,1,3,3,0,9200,1,70.0,0,0,0,3,0.0,2,1,0,6,5,0,5,4,2,0,1,3,4,8,0,938.0,145,1975,1980,2008,44
44,0,0,1,3,0,4,3,179.0,506.0,0,1,1.0,0.0,4,465.0,1,2,0,0,4,3,3,14,4,3,0,1,1,6,1.0,5,2,5,1,1150,0,1,0,2,1,3,3,0,7945,4,70.0,3,0,0,3,0.0,2,1,0,4,12,0,5,4,2,0,1,1,4,8,0,1150.0,0,1959,1959,2006,45
45,0,0,1,2,4,4,3,456.0,0.0,2,6,1.0,0.0,0,1296.0,1,2,4,0,4,0,8,8,4,2,1,2,2,6,2.0,5,2,5,1,1752,0,1,0,2,1,0,3,0,7658,4,61.0,3,0,11,3,412.0,1,1,0,1,16,82,4,8,2,0,1,3,4,8,0,1752.0,196,2005,2005,2010,46
46,631,0,1,1,0,4,3,1351.0,0.0,2,6,1.0,0.0,0,83.0,1,2,4,0,4,2,12,13,4,0,1,2,1,6,2.0,5,2,5,1,2149,1,1,0,0,1,2,3,0,12822,1,48.0,0,0,4,3,0.0,2,1,0,7,11,43,4,6,2,0,1,1,0,8,198,1434.0,168,2003,2003,2009,47
47,0,0,1,3,0,4,0,24.0,0.0,2,6,0.0,0.0,2,1632.0,1,2,4,0,4,2,12,13,4,3,0,2,2,6,3.0,5,2,5,1,1656,0,1,0,2,1,2,3,0,11096,4,84.0,3,0,0,1,0.0,2,1,0,6,21,146,4,7,2,0,1,1,4,8,0,1656.0,0,2006,2006,2007,48
48,716,0,1,2,1,4,3,0.0,0.0,6,6,0.0,0.0,4,736.0,1,2,4,102,4,3,8,8,4,3,0,0,2,6,0.0,3,1,3,6,1452,0,1,2,5,3,3,3,0,4456,4,33.0,3,0,14,4,0.0,2,1,0,5,17,0,4,3,0,0,1,1,5,6,0,736.0,0,1920,2008,2009,49
49,0,0,1,3,0,4,3,763.0,0.0,1,6,1.0,0.0,4,192.0,1,2,4,0,4,3,6,6,2,3,0,1,1,6,1.0,5,3,5,1,955,0,1,0,2,1,3,3,0,7742,4,66.0,3,0,0,3,0.0,2,1,0,0,19,0,6,4,2,0,1,1,4,8,0,955.0,0,1966,1966,2007,50
50,676,0,1,3,0,4,0,182.0,0.0,2,6,0.0,1.0,2,612.0,1,2,4,0,4,3,12,13,4,3,0,2,2,6,2.0,5,0,5,1,1470,0,1,2,5,1,3,3,0,13869,0,65.0,1,0,5,3,0.0,2,1,0,6,8,75,5,5,2,0,1,1,4,8,0,794.0,0,1997,1997,2007,51
51,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,816.0,1,2,4,0,4,3,13,14,2,2,1,2,1,6,2.0,5,3,5,5,1176,0,1,4,0,1,3,3,0,6240,4,52.0,3,360,4,4,0.0,2,3,400,8,3,0,5,5,2,0,1,1,4,8,0,816.0,112,1934,1950,2006,52
52,0,0,1,2,2,4,1,104.0,712.0,3,2,1.0,0.0,2,0.0,0,8,4,0,4,1,13,14,4,3,0,1,1,6,2.0,5,3,5,4,816,0,1,4,2,1,3,0,1,8472,0,110.0,1,0,10,4,0.0,2,1,0,4,9,0,4,4,2,0,1,1,4,8,0,816.0,106,1963,1963,2010,53
53,0,0,1,0,0,4,1,1810.0,0.0,2,6,2.0,0.0,0,32.0,1,2,4,0,4,2,14,15,4,2,1,1,0,6,3.0,5,0,5,1,1842,1,1,2,2,1,2,2,0,50271,4,68.0,0,0,0,3,0.0,2,1,0,10,24,72,4,8,2,0,7,1,4,8,0,1842.0,857,1981,1987,2006,54
54,0,0,1,3,0,4,3,384.0,0.0,0,6,0.0,0.0,4,0.0,1,2,4,0,4,3,8,8,2,5,1,1,1,2,2.0,5,3,5,5,1360,0,1,4,7,1,3,0,1,7134,4,60.0,3,0,8,3,0.0,2,1,0,1,12,50,4,4,2,0,1,1,4,8,0,384.0,0,1955,1955,2007,55
55,0,407,1,3,0,4,3,490.0,0.0,1,6,0.0,0.0,4,935.0,1,2,4,0,4,3,6,10,4,2,1,1,2,6,2.0,5,2,5,1,1425,0,1,2,2,1,3,3,0,10175,4,100.0,0,0,0,3,272.0,1,1,0,6,12,0,4,5,2,0,1,1,4,8,0,1425.0,0,1964,1964,2008,56
56,756,0,2,3,3,4,3,649.0,0.0,2,6,1.0,0.0,2,321.0,1,2,4,0,4,2,8,8,4,3,0,2,2,6,2.0,5,0,5,1,1739,1,1,0,5,1,2,3,0,2645,4,24.0,3,0,12,1,456.0,1,1,0,7,21,0,4,7,2,0,1,1,0,8,0,970.0,115,1999,2000,2009,57
57,860,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,860.0,1,2,4,0,4,2,12,13,4,3,0,2,2,6,2.0,5,2,5,1,1720,1,1,0,5,1,2,3,0,11645,0,89.0,0,0,5,3,0.0,2,1,0,7,5,70,4,6,2,0,1,1,4,8,0,860.0,0,2004,2004,2006,58
58,1519,0,1,3,0,4,1,0.0,0.0,6,6,0.0,0.0,0,1410.0,1,2,4,37,4,0,12,13,4,2,1,2,3,6,3.0,5,0,5,3,2945,1,1,0,5,1,2,1,0,13682,1,66.0,1,0,5,3,1031.0,1,1,0,9,22,0,4,9,2,0,1,3,5,6,0,1410.0,192,2006,2006,2006,59
59,0,0,1,2,0,4,0,632.0,0.0,0,6,0.0,0.0,4,148.0,1,2,4,0,4,3,6,6,2,3,0,1,1,6,1.0,5,3,5,5,780,0,1,0,2,1,3,0,0,7200,4,60.0,3,0,0,3,0.0,2,1,0,0,5,0,6,4,2,0,1,1,4,8,0,780.0,196,1972,1972,2008,60
60,0,0,1,3,0,4,3,941.0,0.0,0,6,1.0,0.0,2,217.0,1,5,4,0,4,3,12,13,4,3,0,2,1,6,2.0,5,3,5,5,1158,1,1,0,2,1,2,3,0,13072,4,63.0,3,0,0,3,0.0,2,1,0,4,20,50,4,5,2,0,1,1,5,6,0,1158.0,0,2004,2004,2006,61
61,530,0,1,3,0,0,3,0.0,0.0,6,6,0.0,0.0,4,530.0,0,2,4,144,4,3,8,8,4,3,0,0,1,6,1.0,5,3,5,5,1111,0,1,4,4,1,1,3,0,7200,4,60.0,3,0,7,4,0.0,2,1,0,2,9,0,6,4,0,0,1,1,4,8,0,530.0,0,1920,1996,2007,62
62,0,0,1,2,4,1,2,24.0,0.0,2,6,0.0,0.0,2,1346.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,2.0,5,2,5,1,1370,0,1,0,2,1,2,3,0,6442,4,44.0,0,0,11,3,178.0,3,1,0,9,16,49,4,7,2,0,1,1,4,8,0,1370.0,120,2006,2006,2007,63
63,808,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,576.0,1,6,4,64,4,3,11,12,0,3,0,0,2,6,2.0,5,3,5,5,1710,0,1,2,5,1,3,0,0,10300,4,50.0,0,0,6,4,0.0,2,1,0,3,17,11,5,6,2,0,1,1,4,8,0,576.0,12,1921,1950,2010,64
64,977,0,1,3,0,4,3,739.0,0.0,2,6,1.0,0.0,2,318.0,1,2,4,0,4,3,12,13,0,3,0,2,2,6,2.0,5,2,5,1,2034,1,1,0,5,1,2,3,0,9375,4,70.0,3,0,5,3,573.0,1,1,0,1,5,36,4,6,2,0,1,1,4,8,0,1057.0,576,1997,1998,2009,65
65,1330,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1143.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,3.0,5,2,5,3,2473,1,1,0,5,1,2,3,0,9591,4,76.0,3,0,5,3,344.0,1,1,0,9,16,151,4,7,2,0,1,1,4,8,0,1143.0,192,2004,2005,2007,66
66,0,0,1,3,0,4,1,912.0,0.0,2,6,1.0,0.0,2,1035.0,1,3,4,0,4,3,9,10,4,2,1,1,2,2,2.0,5,2,5,1,2207,0,1,4,2,1,3,3,0,19900,4,73.0,3,0,0,3,287.0,1,1,0,6,12,0,4,6,2,0,1,1,4,8,0,1947.0,301,1970,1989,2010,67
67,0,0,1,3,0,4,0,1013.0,0.0,2,6,1.0,0.0,2,440.0,1,2,4,0,4,2,12,13,4,3,0,2,2,6,2.0,5,2,5,1,1479,0,1,0,2,1,2,3,0,10665,4,72.0,0,0,0,3,167.0,1,1,0,5,5,29,4,6,2,0,1,1,4,8,0,1453.0,144,2003,2003,2007,68
68,0,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,747.0,1,0,4,0,2,3,8,8,4,3,0,1,1,6,1.0,5,3,5,1,747,0,1,4,2,1,3,3,0,4608,0,47.0,3,0,1,4,0.0,2,1,0,5,17,0,5,3,2,0,1,1,4,8,0,747.0,0,1945,1950,2010,69
69,983,0,1,3,0,4,3,603.0,0.0,1,6,0.0,0.0,4,701.0,1,2,4,114,4,2,3,0,4,5,1,1,2,6,2.0,5,0,5,1,2287,0,2,4,0,1,3,3,0,15593,0,81.0,3,0,4,3,0.0,2,1,0,6,4,21,3,6,2,0,1,1,4,8,0,1304.0,0,1953,1953,2006,70
70,0,0,1,3,0,4,1,1880.0,0.0,0,6,1.0,0.0,2,343.0,1,2,4,0,2,3,9,10,4,2,2,1,2,6,2.0,5,0,5,1,2223,0,1,0,2,1,3,3,0,13651,4,95.0,0,0,0,3,1115.0,1,1,0,1,12,0,5,6,2,0,1,1,4,8,0,2223.0,300,1973,1973,2007,71
71,0,0,1,2,0,4,3,565.0,0.0,0,6,1.0,0.0,4,280.0,1,2,4,0,4,3,6,10,4,3,0,1,1,6,2.0,5,3,5,5,845,0,1,4,2,1,3,3,0,7599,0,69.0,3,0,0,3,0.0,2,1,0,5,11,0,5,3,2,0,1,1,4,8,0,845.0,0,1982,2006,2007,72
72,833,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,832.0,1,2,4,0,4,3,12,13,4,5,1,2,2,6,2.0,5,0,5,1,1718,1,1,2,5,1,3,3,0,10141,0,74.0,0,0,5,3,40.0,1,1,0,11,8,94,4,6,2,0,1,1,4,8,291,832.0,0,1998,1998,2009,73
73,0,0,1,3,0,4,3,320.0,362.0,0,1,1.0,0.0,4,404.0,1,2,4,0,4,3,13,14,1,3,0,1,1,6,2.0,5,3,5,1,1086,0,1,2,2,1,3,3,0,10200,4,85.0,3,0,0,3,104.0,1,1,0,4,12,0,6,4,2,0,1,1,4,8,0,1086.0,0,1954,2003,2010,74
74,765,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,1,840.0,0,2,4,202,2,2,12,13,4,3,0,1,2,6,1.0,5,3,5,5,1605,0,1,2,5,2,3,3,0,5790,0,60.0,3,0,4,4,0.0,2,1,0,4,17,0,5,2,2,0,1,2,4,8,0,840.0,0,1915,1950,2010,75
75,462,0,1,2,3,4,1,462.0,0.0,2,6,1.0,0.0,2,0.0,1,2,4,0,4,3,5,5,1,3,0,1,1,6,1.0,5,3,5,3,988,0,1,4,7,1,3,3,0,1596,4,21.0,3,0,13,4,0.0,2,1,0,10,10,101,4,3,2,0,1,1,4,8,0,462.0,120,1973,1973,2009,76
